YEAR,CLUSTER,X,Y
2021,0,43.4228,77.495766
2021,1,-7.2638206,80.40321
2021,2,-19.635757,-79.47041
2021,3,-31.385958,-17.499767
2021,4,-20.708,68.052055
2013,0,78.29354,52.87418
2013,5,49.303493,-24.272415
2013,6,49.158955,-24.17935
2013,1,-12.767106,77.29758
2013,3,25.234444,64.30659
2019,7,8.623439,3.030598
2019,8,7.9983582,1.933623
2019,7,43.042583,33.393726
2019,1,-6.772254,74.807495
2019,9,-14.412296,-15.527639
2019,10,-51.64872,-3.880075
2019,11,-36.764748,20.263214
2019,12,69.84696,-30.16964
2019,3,-25.515146,-25.998798
2019,13,-1.5703053,-93.741066
2019,2,-24.036085,-69.85296
2020,14,14.911151,-17.294788
2020,15,9.116812,-33.188084
2020,10,-84.35518,26.499939
2020,0,59.602306,68.40033
2020,12,91.40806,-16.902607
2020,16,31.668945,-70.38586
2020,17,-54.117123,-36.925877
2020,18,-81.851006,-12.647589
2020,2,-21.329098,-70.21923
2020,1,-6.8773804,74.71331
2020,4,-22.74231,64.838425
2012,6,41.155968,-35.0957
2012,1,4.215361,94.7862
2006,19,39.351368,-44.872707
2006,6,38.514355,-31.48615
2006,20,-3.8966649,-35.854362
2006,21,-51.968166,4.5204697
2014,22,27.652193,23.604094
2014,23,14.989441,13.544794
2014,20,-5.9687757,-46.622353
2014,24,20.538275,-88.27454
2014,12,99.72345,-25.513477
2014,15,-9.315316,-12.659235
2014,15,0.7244426,-21.090033
2013,25,72.43298,14.341761
2013,8,-10.937881,-1.1486263
2013,8,-10.838982,-1.0749458
2013,15,-6.1902547,-5.7376986
2013,15,-6.473894,-5.776981
2013,12,76.01311,-12.920377
2013,16,32.03883,-71.58766
2013,26,-45.502132,-7.2587986
2013,1,-17.406067,76.109535
2010,27,-43.16732,57.00111
2010,28,-28.254204,-38.68828
2019,0,58.30933,75.817604
2019,29,80.66028,27.609118
2019,30,-37.710667,-79.56915
2019,1,-6.6831703,83.80893
2002,31,-15.552166,31.009531
2005,1,3.9647007,93.91999
2005,0,39.151714,63.601574
2005,19,33.36656,-45.28917
2005,25,45.735928,-4.102962
2005,19,34.42731,-49.177
2005,19,34.47808,-49.166092
2005,19,34.204784,-49.51057
2005,6,38.04071,-29.554253
2005,12,86.85836,-29.50646
2005,32,49.402847,-58.480515
2005,33,17.963726,-44.155445
2005,33,17.879187,-44.28522
2005,10,-51.04201,-14.454666
2005,34,-59.7151,-59.022427
2005,10,-84.45021,12.816794
2005,35,-99.612175,-2.9783926
2005,36,-54.3444,-26.362812
2005,37,-59.610233,32.237892
2005,38,-6.792925,-87.36453
2005,2,-21.032022,-79.02295
2005,31,-15.943054,56.86288
2022,0,32.429935,74.74419
2022,25,1.7563368,27.29768
2022,39,34.961266,34.62151
2022,32,17.961184,68.12483
2022,40,35.29607,34.39427
2022,32,17.961184,68.12483
2022,40,34.495033,2.635862
2022,41,-43.554165,71.02517
2022,12,67.30194,-28.539528
2022,30,-36.07467,-83.47352
2022,1,0.06488286,88.003
2021,42,-28.406813,8.646343
2021,31,-15.68176,-9.495771
2015,0,48.228207,81.24073
2015,25,71.375854,14.872598
2015,29,-10.753898,63.006332
2015,8,9.537921,-13.745217
2014,14,12.287847,-17.614708
2014,14,10.201116,-18.522915
2022,23,19.7264,21.53622
2022,43,52.03145,31.518057
2022,44,28.809944,49.055542
2022,22,46.840935,36.810097
2022,23,20.999786,15.085789
2022,20,-6.024593,-51.398037
