YEAR,CLUSTER,X,Y
2021,0,-56.96253,-12.8117075
2021,1,38.135292,-25.241669
2021,1,37.070175,-24.41753
2021,2,-17.648855,-12.968439
2021,1,35.232056,-27.198349
2021,3,35.24513,-27.157732
2021,1,36.98749,-24.268429
2021,1,37.07425,-26.33484
2021,1,37.919086,-26.548521
2021,4,-32.06406,51.77563
2021,5,32.82471,-49.749153
2021,6,47.684944,-88.96207
2021,7,-93.400375,-42.06115
2021,1,30.480032,-22.085722
2021,1,32.467804,-21.00801
2021,8,-22.305716,-65.27323
2025,9,42.9215,17.186668
2025,3,42.225384,17.356949
2025,0,7.2164025,41.818447
2025,7,-73.089386,-57.8893
2025,10,-50.81907,-30.660473
2025,11,-56.189213,-30.549343
2025,7,-57.33857,-38.340496
2025,8,-23.358624,-75.40436
2025,12,-45.935257,33.75876
2025,13,-2.165123,2.8717062
2025,14,-36.176105,61.12048
2025,15,29.158545,-50.9026
2010,16,-24.090052,-16.357925
2010,17,-15.719553,-29.670082
2010,2,-15.7881365,-29.568832
2010,17,-16.051971,-30.157389
2010,18,-15.763212,-29.125488
2010,17,-16.202072,-28.741003
2010,17,-15.404062,-29.980333
2010,17,-18.630423,-31.494392
2010,17,-17.133686,-30.253933
2010,19,-17.603415,-59.21683
2019,20,-6.8975644,66.04038
2019,21,34.96728,19.106318
2019,22,39.955578,20.80366
2018,23,-0.31915298,56.61533
2018,24,-0.30809715,56.5972
2014,25,22.681778,77.09992
2014,26,2.342388,-7.709945
2014,9,59.53159,17.532486
2014,12,-54.76173,34.49261
2014,14,-32.47693,97.52765
2023,27,-87.922325,6.7588468
2023,28,-46.57032,-79.4134
2023,29,-17.366598,-40.930767
2023,30,-33.782383,-11.102142
2021,4,-32.295277,62.078503
2021,31,41.30931,-56.643703
2021,31,35.21045,-70.31176
2021,31,28.614334,-74.17918
2021,29,41.69865,-56.291344
2021,7,-73.52127,-36.208675
2021,12,-43.97398,41.510303
2021,16,-25.298903,-13.18627
2021,32,48.392197,35.03562
2021,33,48.44444,34.643814
2021,34,47.910225,34.471157
2021,33,48.365616,34.68196
2021,21,60.41172,-2.8509576
2000,9,57.846516,4.5006747
2000,3,38.854977,4.486552
2000,3,51.60711,43.92514
2000,21,61.378883,-6.1937237
2000,5,38.707897,-42.20202
2000,14,-56.717987,79.06063
2011,0,-81.76507,-12.073504
2011,35,68.38628,44.466133
2011,12,-44.272114,42.28082
2011,9,56.15,7.51271
2011,14,-17.506166,79.81691
2011,5,37.0768,-48.146378
2011,36,50.20773,-53.674538
2011,8,-24.002092,-84.12299
2024,37,-29.673515,-20.149458
2024,0,-80.145096,-10.0491085
2024,38,-45.893,2.7606845
2024,39,21.596838,24.55154
2024,38,-45.87446,3.402324
2024,32,21.848259,24.705883
2024,40,29.968819,7.877244
2024,12,-28.785942,24.214235
2024,14,-42.796135,84.41036
2024,41,-72.34556,50.02778
2024,5,32.672703,-46.249516
2024,42,60.48453,-41.956226
2024,43,8.805063,-84.81523
2024,44,2.2907593,-56.340393
2024,45,54.211815,-83.060005
2024,17,-6.4409056,-41.73105
2024,7,-66.94832,-44.906033
2024,8,-27.015783,-80.371765
2017,46,-12.280749,-21.416624
2017,47,-18.32537,8.533102
2017,28,-39.805058,-78.965996
2007,24,27.53945,70.10381
2007,14,-40.800133,86.895905
2007,41,-78.656456,57.178276
2020,0,-80.69724,-3.6908734
2020,14,-40.05332,76.96923
2020,23,5.473628,64.95647
2020,21,45.539482,-10.7468815
2020,9,48.85368,2.147746
2020,26,-2.4138672,-3.1849067
2020,23,-2.6269171,13.445506
2023,0,-73.0825,11.750696
2023,8,-11.007829,-69.375046
2023,29,-8.355876,-69.02878
2023,8,-19.287111,-83.65148
2023,0,-83.57076,-5.8178053
2023,39,12.727412,23.382948
2023,40,29.626337,6.5961466
2023,48,19.305561,88.99361
2023,48,38.193127,66.16394
2023,49,-1.76107,35.603542
2023,48,38.073524,69.675514
2023,13,-10.27254,6.906674
2014,50,65.40069,49.23509
2014,30,-34.354538,-14.667062
2014,50,67.23724,51.863277
2014,50,66.75147,51.880234
2014,3,61.475597,31.870975
2014,12,-22.110188,23.119987
2014,51,83.70685,-15.441706
2014,0,-78.76154,-14.135357
2014,52,-88.033,41.14602
2014,5,27.561325,-58.06093
2014,43,3.713317,-89.37801
2014,53,19.47524,-99.94555
2014,45,50.653446,-75.90464
2014,43,8.523873,-95.56615
2014,54,70.07009,-38.229916
2014,55,85.98918,-41.31155
2014,56,68.48631,-61.570847
2014,4,-34.1905,58.762283
2014,57,-0.14998189,-46.7118
2014,58,-45.777367,-43.98808
2014,7,-73.34346,-40.069363
2014,8,-27.643644,-77.9692
2014,19,-20.578468,-49.312668
2023,8,-18.424623,-69.20818
2023,0,-64.76938,-13.248285
2023,59,19.132732,65.60983
2023,35,81.148895,43.90097
2023,21,55.235943,-3.03723
2023,22,55.444008,37.883804
2023,60,54.631035,36.75142
2023,61,39.369427,19.553911
2023,12,-40.944355,19.569042
2023,14,-41.43838,68.875534
2023,41,-80.05725,30.318846
2023,5,32.549477,-49.145264
2016,23,11.78586,30.283318
2016,14,-56.77852,79.4503
2016,31,41.51254,-46.207474
2008,25,17.897848,59.539894
2008,62,72.56167,0.41261345
2008,26,4.946683,-4.9635315
2008,12,-48.33906,33.108257
2008,14,-15.475955,80.815704
2023,63,-31.518705,-75.959206
2007,0,-66.32968,-3.7642233
2007,30,-66.98829,-3.7688577
2007,10,-57.98277,-32.431427
2007,10,-61.155376,-28.001501
2007,11,-46.038704,-50.794968
2007,18,-14.935971,41.199375
2007,64,-1.5367148,-24.310934
2007,2,-0.94987756,-23.666697
2007,64,-0.45129356,-23.158327
2007,64,-1.9300565,-25.390167
2007,2,-0.23094235,-23.13466
2007,2,-43.69303,-21.484194
2007,64,-1.5678996,-24.331974
2007,18,-0.4457176,-22.994246
2007,18,0.058079656,-21.011456
2007,18,-13.757988,41.427757
2007,8,-27.228825,-60.460155
2007,65,-34.888966,-73.788185
2016,17,-18.018116,-28.778862
2018,61,15.980033,21.617336
2018,0,-59.091038,10.034959
2018,12,-31.972172,32.34424
2018,31,39.584553,-56.534832
2018,6,36.672398,-71.91388
2018,15,26.805305,-73.0999
2018,14,-38.107708,60.569405
2018,66,-47.861824,-19.362967
2018,7,-67.44452,-51.559578
2023,0,-69.86485,-6.6481013
2023,64,-7.6599646,-23.263397
2023,64,-7.604581,-23.267239
2023,64,-7.236338,-29.472507
2023,64,-29.912321,-32.202972
2017,39,10.820993,36.577614
2017,32,27.704079,20.933779
2017,40,28.635408,19.150269
2017,32,28.713312,25.823467
2017,12,-39.42511,34.450916
2017,14,-48.349365,82.633125
2017,61,23.183859,51.27713
2017,61,16.09035,9.566356
2017,24,22.892975,51.980198
2017,61,23.067032,51.651947
2017,61,22.94275,51.90561
2017,67,12.306173,32.0538
2017,61,27.300272,-3.9887767
2017,49,23.117151,38.650524
2017,34,9.625876,38.81517
2017,25,9.742595,38.73999
2017,49,21.07144,42.477303
2017,49,20.523933,41.722977
2017,49,4.2798047,33.04654
2017,63,-28.536444,-74.72915
2017,29,-37.619934,-25.25443
2019,67,55.95457,69.721886
2019,13,-11.742603,1.999491
2019,7,-78.71104,-38.51462
2019,15,17.476543,-54.04696
2019,68,-31.178423,-39.546738
2018,0,-62.479946,-8.03082
2018,7,-63.13225,-44.058353
2018,64,-5.519863,-27.963213
2018,2,-56.608974,78.27033
2018,66,-46.858395,-22.234154
2018,64,-27.836395,-31.18561
2018,19,-13.651922,-56.09815
2018,69,-25.058277,-49.73295
2018,8,-21.700603,-63.166325
2019,59,8.613836,69.27108
2019,62,76.99603,5.025113
2019,12,-37.908596,36.44632
2019,14,-42.4291,67.096756
2019,70,15.663271,-58.784164
2019,26,-6.303269,-7.835755
2023,39,18.952465,21.346619
2023,23,6.8763113,26.934534
2023,33,38.35933,48.937088
2023,71,38.660908,49.13705
2023,13,-9.440056,2.5401437
2003,59,12.314611,66.92347
2003,24,70.76459,15.142912
2003,12,-47.49811,35.52344
2003,31,39.861015,-45.897533
2023,59,9.311205,71.02576
2023,14,-39.97517,96.01125
2023,12,-29.034813,17.734617
2023,70,12.767017,-65.412994
2023,13,-7.4702926,-0.69592345
2023,33,35.21994,46.084854
2023,23,30.34364,55.423088
2023,25,11.121229,38.05684
2023,21,53.476418,-4.1236115
2023,9,56.07113,16.849756
2023,33,36.253895,44.66238
2023,20,-6.0331993,66.69292
2023,25,11.19823,38.009666
2023,21,53.186287,-3.861066
2023,9,58.992615,17.854183
2023,9,48.532764,-7.607132
2023,61,60.424416,27.89259
2023,9,62.503952,4.435355
2023,72,32.934856,43.477425
2023,72,24.21803,42.64142
2023,25,11.2005205,38.009815
2023,21,53.18773,-3.8610668
2023,9,56.963497,16.118006
2023,9,63.273693,4.020384
2023,61,56.90657,26.371506
2023,9,48.749386,-7.661869
2023,72,32.985893,43.347656
2023,72,27.547146,45.21917
2023,39,11.146628,37.821667
2023,21,53.18773,-3.8610668
2023,9,58.41008,16.12211
2023,9,63.267426,4.034431
2023,9,48.74791,-7.662545
2023,71,50.571106,51.79569
2023,12,-41.54997,36.08609
2023,26,1.0422187,-7.9851923
2023,14,-33.567642,88.59907
2023,0,-62.614437,-13.357541
2023,59,16.865337,66.29807
2023,12,-38.6488,13.458756
2023,62,76.89995,3.763452
2023,14,-50.392033,72.84955
2023,41,-69.09438,34.788002
2023,70,18.698238,-67.951836
2023,42,57.64309,-45.733513
2023,43,14.219432,-84.36264
2023,44,-0.2941467,-56.84605
2023,17,-7.7487974,-40.81023
2023,58,-62.164486,-48.368633
2006,26,4.376095,-0.13655877
2006,14,-50.00386,58.118023
2006,62,71.3513,0.16333069
2011,59,6.8674855,59.67804
2011,14,-17.510834,79.81077
2011,41,-68.39622,55.638683
2011,12,-50.762554,39.717472
2011,31,42.186897,-60.534332
2021,65,-31.341656,-68.86561
2021,0,-85.293785,-11.31258
2021,0,-72.31509,14.349824
2021,39,14.025503,26.217655
2021,12,-43.72603,35.51259
2021,14,-20.236317,70.732864
2021,41,-96.685585,30.791245
2021,42,56.504307,-39.95992
2021,6,32.60446,-71.982506
2021,45,53.883877,-83.0494
2021,15,27.912136,-71.863235
2021,43,10.280457,-83.80291
2021,44,3.3494763,-58.802532
2021,7,-60.64209,-49.150757
2021,66,-55.76062,-14.849283
2021,69,11.314538,-44.500698
2021,37,-29.264484,-16.359928
2021,73,8.720227,-44.48714
2021,69,11.239598,-42.632404
2021,37,-29.264135,-16.34512
2021,69,10.145612,-44.92404
2021,69,11.204376,-42.697765
2014,59,14.647912,65.994446
2014,35,79.36552,45.791214
2014,30,-35.05665,-13.726211
2014,2,60.540165,-64.48902
2014,2,60.538315,-64.48979
2014,74,-50.61552,27.568653
2014,41,-76.02521,57.404697
2014,14,-42.587036,83.696106
2014,5,32.470295,-57.757805
2016,28,-43.30253,-83.94598
2016,0,-71.6577,12.881549
2016,59,21.391634,70.29405
2016,50,68.041405,49.87949
2016,12,-34.637825,17.090458
2016,51,82.58568,-17.788073
2016,14,-22.27311,87.90412
2022,0,-68.998924,-11.540999
2022,20,-2.420267,68.495056
2022,67,59.413956,67.87627
2022,9,55.432793,70.33443
2022,9,69.30498,13.865302
2022,12,-44.537807,40.365074
2022,14,-17.331554,64.769035
2022,70,21.208565,-67.45242
2022,51,83.96037,-20.349607
2022,7,-81.64252,-34.682575
2013,66,-72.82543,-7.6102314
2013,2,-13.4537115,-11.8779745
2013,2,-11.585783,-14.517325
2013,29,-13.428625,-11.9026
2013,63,-34.183823,-81.870705
2013,19,-20.034918,-53.669888
2015,14,-33.446865,99.32122
2015,59,9.907959,71.27293
2015,13,-3.584562,1.9869839
2015,12,-50.382607,39.842354
2015,31,42.187332,-60.535286
2007,59,12.952555,73.81405
2007,24,72.18813,11.10969
2007,12,-31.478136,29.826113
2007,75,14.95504,-15.20855
2007,76,58.11841,-19.052309
2007,14,-15.63138,85.72045
2007,31,40.60412,-57.95841
2007,31,34.796818,-67.52592
2007,68,-33.0182,-41.248848
2009,20,4.37041,72.61598
2009,24,61.457832,20.991175
2009,27,-86.85451,7.5930157
2004,24,24.752346,64.09032
2004,74,-19.743294,31.99808
2004,30,-52.799404,55.488884
2004,76,75.832596,-21.417429
2004,77,68.62394,-19.463505
2004,29,-19.794611,-42.910366
2018,24,51.255817,33.44449
2018,32,29.03049,37.886402
2018,12,-22.141668,19.811562
2018,26,-0.1325662,-3.4672728
2018,14,-42.92441,75.85041
